Empresa,Repositorio_Nome,Language
apple,ml-all-pairs,Python
apple,ml-ane-transformers,Python
apple,ml-aspanformer,Python
apple,ml-aura,Python
apple,ml-autofocusformer,Python
apple,ml-autofocusformer-segmentation,Python
apple,ml-batchquant,Python
apple,ml-behavioral-testing-for-mt,
apple,ml-bilevel-train-dist,Python
apple,ml-bloop,Python
apple,ml-calibration,Jupyter Notebook
apple,ml-capsules-inverted-attention-routing,Python
apple,ml-cifar-10-faster,Python
apple,ml-code-switched-speech-translation,Python
apple,ml-codeswitching-translations,
apple,ml-collegial-ensembles,Python
apple,ml-comotion,Python
apple,ml-compress-and-compare,Python
apple,ml-core,Python
apple,ml-covid-mobility,R
apple,ml-cread,Python
apple,ml-cross-entropy,Python
apple,ml-cubifyanything,Python
apple,ml-cvnets,Python
apple,ml-cvpr2019-swd,Python
apple,ml-dab,Python
apple,ml-data-parameters,Python
apple,ml-dataset-decomposition,Python
apple,ml-delphi,
apple,ml-depth-pro,Python
apple,ml-destseg,Python
apple,ml-diffusion-alignment-gflownet,Python
apple,ml-direct2.5,Python
apple,ml-divide-or-conquer,Python
apple,ml-dms-dataset,Python
apple,ml-dprecs,Jupyter Notebook
apple,ml-dr,Python
apple,ml-duet,Python
apple,ml-entity-deduction-arena,Python
apple,ml-entropy-reconstruction,Python
apple,ml-envmapnet,Python
apple,ml-equivariant-neural-rendering,Jupyter Notebook
apple,ml-facelit,Python
apple,ml-famae,Python
apple,ml-fastvit,Python
apple,ml-fastvlm,Python
apple,ml-fct,Python
apple,ml-ferret,Python
apple,ml-finerecon,Python
apple,ml-flair,Jupyter Notebook
apple,ml-flextok,Jupyter Notebook
apple,ml-gaudi,
apple,ml-gbc,Python
apple,ml-gendered-translation,Ruby
apple,ml-gmpi,Python
apple,ml-gsm-symbolic,
apple,ml-gsn,Python
apple,ml-hd-gist,Python
apple,ml-heart-rate-models,Python
apple,ml-hierarchical-confusion-matrix,TypeScript
apple,ml-hugs,Python
